"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
2.460994375E0,5.089052253E-1,1.063141399E0,3.090476000E-3,1.799999952E0,2.000000000E2
2.481820958E0,5.087975625E-1,1.062863354E0,3.090136000E-3,1.799999952E0,2.000000000E2
2.494316625E0,5.088584992E-1,1.063296329E0,3.089793000E-3,1.799999952E0,2.000000000E2
2.510977791E0,5.086260869E-1,1.062344899E0,3.089459000E-3,1.799999952E0,2.000000000E2
2.531803875E0,5.079229288E-1,1.059342201E0,3.089153000E-3,1.799999952E0,2.000000000E2
2.544300250E0,5.079409629E-1,1.059410617E0,3.088846000E-3,1.799999952E0,2.000000000E2
2.560961500E0,5.080588777E-1,1.059943301E0,3.088534000E-3,1.799999952E0,2.000000000E2
2.577622625E0,5.080321481E-1,1.060022303E0,3.088223000E-3,1.799999952E0,2.000000000E2
2.590118458E0,5.078675410E-1,1.059434462E0,3.087919000E-3,1.799999952E0,2.000000000E2
2.610944791E0,5.076313392E-1,1.058363650E0,3.087624000E-3,1.799999952E0,2.000000000E2
2.627606083E0,5.073743288E-1,1.057290402E0,3.087339000E-3,1.799999952E0,2.000000000E2
2.644267250E0,5.073796748E-1,1.057614622E0,3.087054000E-3,1.799999952E0,2.000000000E2
2.665093833E0,5.067493972E-1,1.054115991E0,3.086793000E-3,1.799999952E0,2.000000000E2
2.677589583E0,5.068016722E-1,1.054295596E0,3.086530000E-3,1.799999952E0,2.000000000E2
2.690085541E0,5.068432554E-1,1.054404415E0,3.086265000E-3,1.799999952E0,2.000000000E2
2.706746708E0,5.067335624E-1,1.054147333E0,3.086005000E-3,1.799999952E0,2.000000000E2
2.723407916E0,5.068176423E-1,1.054526249E0,3.085742000E-3,1.799999952E0,2.000000000E2
2.740069166E0,5.066670429E-1,1.054161214E0,3.085484000E-3,1.799999952E0,2.000000000E2
2.756730166E0,5.067015546E-1,1.054218284E0,3.085225000E-3,1.799999952E0,2.000000000E2
2.773391458E0,5.066374035E-1,1.054065636E0,3.084969000E-3,1.799999952E0,2.000000000E2
2.785887208E0,5.065630681E-1,1.053895966E0,3.084715000E-3,1.799999952E0,2.000000000E2
2.802548291E0,5.065318384E-1,1.053882914E0,3.084463000E-3,1.799999952E0,2.000000000E2
2.815044333E0,5.065203007E-1,1.053849565E0,3.084211000E-3,1.799999952E0,2.000000000E2
2.831705416E0,5.064601760E-1,1.053700517E0,3.083961000E-3,1.799999952E0,2.000000000E2
2.848366500E0,5.067218555E-1,1.054804402E0,3.083701000E-3,1.799999952E0,2.000000000E2
2.865027833E0,5.065152255E-1,1.054046553E0,3.083449000E-3,1.799999952E0,2.000000000E2
2.881689083E0,5.065112668E-1,1.054057766E0,3.083198000E-3,1.799999952E0,2.000000000E2
2.894184750E0,5.066183882E-1,1.054480724E0,3.082942000E-3,1.799999952E0,2.000000000E2
2.910846166E0,5.067405324E-1,1.055263594E0,3.082682000E-3,1.799999952E0,2.000000000E2
2.927507333E0,5.064829469E-1,1.054281163E0,3.082432000E-3,1.799999952E0,2.000000000E2
2.944168583E0,5.065857037E-1,1.054674413E0,3.082178000E-3,1.799999952E0,2.000000000E2
2.960829625E0,5.065510567E-1,1.054768400E0,3.081925000E-3,1.799999952E0,2.000000000E2
2.977490750E0,5.066419712E-1,1.055251410E0,3.081669000E-3,1.799999952E0,2.000000000E2
2.998317208E0,5.065942978E-1,1.055071883E0,3.081414000E-3,1.799999952E0,2.000000000E2
3.010813125E0,5.065129247E-1,1.054945288E0,3.081163000E-3,1.799999952E0,2.000000000E2
3.027474375E0,5.064810183E-1,1.054763436E0,3.080913000E-3,1.799999952E0,2.000000000E2
3.048300750E0,5.064660971E-1,1.054865844E0,3.080663000E-3,1.799999952E0,2.000000000E2
3.064961958E0,5.057674052E-1,1.051726681E0,3.080440000E-3,1.799999952E0,2.000000000E2
3.077458041E0,5.056142344E-1,1.051204703E0,3.080223000E-3,1.799999952E0,2.000000000E2
3.089953750E0,5.057190551E-1,1.051611500E0,3.080002000E-3,1.799999952E0,2.000000000E2
3.110780083E0,5.056409640E-1,1.051443888E0,3.079784000E-3,1.799999952E0,2.000000000E2
3.127441333E0,5.057196641E-1,1.051682342E0,3.079563000E-3,1.799999952E0,2.000000000E2
3.144102583E0,5.051935982E-1,1.049491163E0,3.079363000E-3,1.799999952E0,2.000000000E2
3.164929000E0,5.054120705E-1,1.050430508E0,3.079154000E-3,1.799999952E0,2.000000000E2
3.181590125E0,5.050774766E-1,1.049240729E0,3.078958000E-3,1.799999952E0,2.000000000E2
3.198251250E0,5.049613551E-1,1.048500187E0,3.078767000E-3,1.799999952E0,2.000000000E2
3.214912583E0,5.048809970E-1,1.048409298E0,3.078579000E-3,1.799999952E0,2.000000000E2
3.227408416E0,5.045829111E-1,1.047207681E0,3.078402000E-3,1.799999952E0,2.000000000E2
3.244069541E0,5.049497835E-1,1.048601857E0,3.078211000E-3,1.799999952E0,2.000000000E2
3.260730750E0,5.049209223E-1,1.048720972E0,3.078021000E-3,1.799999952E0,2.000000000E2
3.281557416E0,5.046260506E-1,1.047528268E0,3.077843000E-3,1.799999952E0,2.000000000E2
3.298218375E0,5.047320217E-1,1.048207619E0,3.077660000E-3,1.799999952E0,2.000000000E2
3.310714375E0,5.049035650E-1,1.048867241E0,3.077471000E-3,1.799999952E0,2.000000000E2
3.327375500E0,5.048005714E-1,1.048298162E0,3.077286000E-3,1.799999952E0,2.000000000E2
3.344036583E0,5.049226140E-1,1.049136815E0,3.077096000E-3,1.799999952E0,2.000000000E2
3.360697958E0,5.047533378E-1,1.048246149E0,3.076913000E-3,1.799999952E0,2.000000000E2
3.377358916E0,5.048074737E-1,1.048605798E0,3.076728000E-3,1.799999952E0,2.000000000E2
3.389854875E0,5.047359466E-1,1.048417171E0,3.076545000E-3,1.799999952E0,2.000000000E2
3.406516333E0,5.048435417E-1,1.048911041E0,3.076358000E-3,1.799999952E0,2.000000000E2
3.423177125E0,5.048951062E-1,1.049230028E0,3.076169000E-3,1.799999952E0,2.000000000E2
3.439838541E0,5.049246780E-1,1.049362587E0,3.075979000E-3,1.799999952E0,2.000000000E2
3.452334250E0,5.049057981E-1,1.049277436E0,3.075790000E-3,1.799999952E0,2.000000000E2
3.468995541E0,5.045560800E-1,1.048096226E0,3.075614000E-3,1.799999952E0,2.000000000E2
3.485656750E0,5.046225318E-1,1.048217865E0,3.075436000E-3,1.799999952E0,2.000000000E2
3.502317958E0,5.046777843E-1,1.048535911E0,3.075256000E-3,1.799999952E0,2.000000000E2
3.514813750E0,5.048004360E-1,1.049222722E0,3.075071000E-3,1.799999952E0,2.000000000E2
3.531474958E0,5.047932630E-1,1.049237314E0,3.074886000E-3,1.799999952E0,2.000000000E2
3.548136125E0,5.045573318E-1,1.048374043E0,3.074710000E-3,1.799999952E0,2.000000000E2
3.564797333E0,5.046712203E-1,1.048842984E0,3.074530000E-3,1.799999952E0,2.000000000E2
3.581458500E0,5.046669571E-1,1.048914532E0,3.074350000E-3,1.799999952E0,2.000000000E2
3.598119791E0,5.043847397E-1,1.047633670E0,3.074181000E-3,1.799999952E0,2.000000000E2
3.614780916E0,5.043728298E-1,1.047768800E0,3.074012000E-3,1.799999952E0,2.000000000E2
3.631442041E0,5.044694286E-1,1.048189008E0,3.073840000E-3,1.799999952E0,2.000000000E2
3.643937916E0,5.044668233E-1,1.048076208E0,3.073668000E-3,1.799999952E0,2.000000000E2
3.660599083E0,5.046209416E-1,1.048889697E0,3.073490000E-3,1.799999952E0,2.000000000E2
3.677260250E0,5.046965965E-1,1.049186761E0,3.073309000E-3,1.799999952E0,2.000000000E2
3.693921333E0,5.044181687E-1,1.048158776E0,3.073139000E-3,1.799999952E0,2.000000000E2
3.710582583E0,5.043555063E-1,1.047957199E0,3.072971000E-3,1.799999952E0,2.000000000E2
3.727243833E0,5.041832864E-1,1.047330723E0,3.072810000E-3,1.799999952E0,2.000000000E2
3.743904958E0,5.047940074E-1,1.049961627E0,3.072625000E-3,1.799999952E0,2.000000000E2
3.764731416E0,5.047448113E-1,1.049726173E0,3.072442000E-3,1.799999952E0,2.000000000E2
3.781392583E0,5.047894058E-1,1.050125161E0,3.072258000E-3,1.799999952E0,2.000000000E2
3.793888333E0,5.048351845E-1,1.050402314E0,3.072072000E-3,1.799999952E0,2.000000000E2
3.810549625E0,5.046644195E-1,1.049746639E0,3.071892000E-3,1.799999952E0,2.000000000E2
3.827210833E0,5.047015703E-1,1.049813289E0,3.071711000E-3,1.799999952E0,2.000000000E2
3.848037416E0,5.047958683E-1,1.050340502E0,3.071526000E-3,1.799999952E0,2.000000000E2
3.860533250E0,5.045286736E-1,1.049252773E0,3.071352000E-3,1.799999952E0,2.000000000E2
3.881359791E0,5.043917097E-1,1.048640675E0,3.071183000E-3,1.799999952E0,2.000000000E2
3.889690250E0,5.043907624E-1,1.048747618E0,3.071014000E-3,1.799999952E0,2.000000000E2
3.910516750E0,5.042441216E-1,1.048205874E0,3.070851000E-3,1.799999952E0,2.000000000E2
3.927177958E0,5.043918789E-1,1.048893461E0,3.070682000E-3,1.799999952E0,2.000000000E2
3.943839041E0,5.040853004E-1,1.047408562E0,3.070525000E-3,1.799999952E0,2.000000000E2
3.964665666E0,5.043749276E-1,1.048733315E0,3.070357000E-3,1.799999952E0,2.000000000E2
3.977161583E0,5.040453413E-1,1.047329937E0,3.070201000E-3,1.799999952E0,2.000000000E2
3.993822583E0,5.040147206E-1,1.047359148E0,3.070046000E-3,1.799999952E0,2.000000000E2
4.010483750E0,5.036696379E-1,1.045737123E0,3.069905000E-3,1.799999952E0,2.000000000E2
4.031310166E0,5.036444309E-1,1.045837269E0,3.069765000E-3,1.799999952E0,2.000000000E2
4.043805916E0,5.038766402E-1,1.046838806E0,3.069616000E-3,1.799999952E0,2.000000000E2
4.064632291E0,5.034528573E-1,1.045031799E0,3.069483000E-3,1.799999952E0,2.000000000E2
4.077128416E0,5.033660707E-1,1.044591118E0,3.069353000E-3,1.799999952E0,2.000000000E2
4.093789666E0,5.033325402E-1,1.044626525E0,3.069225000E-3,1.799999952E0,2.000000000E2
4.114616125E0,5.032845623E-1,1.044476686E0,3.069098000E-3,1.799999952E0,2.000000000E2
4.127112000E0,5.035488471E-1,1.045637848E0,3.068961000E-3,1.799999952E0,2.000000000E2
4.143773291E0,5.031456359E-1,1.043906226E0,3.068840000E-3,1.799999952E0,2.000000000E2
4.164599625E0,5.029775100E-1,1.043236420E0,3.068725000E-3,1.799999952E0,2.000000000E2
