"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
2.738934000E0,1.683565028E-1,3.185999810E0,2.260145000E-3,1.799999952E0,2.500000000E1
2.755594874E0,1.683620687E-1,3.188803693E0,2.258521000E-3,1.799999952E0,2.500000000E1
2.768091083E0,1.682549134E-1,3.189178594E0,2.256809000E-3,1.799999952E0,2.500000000E1
2.780586832E0,1.682929777E-1,3.189524791E0,2.255275000E-3,1.799999952E0,2.500000000E1
2.793082667E0,1.684150035E-1,3.196787558E0,2.253786000E-3,1.799999952E0,2.500000000E1
2.809743625E0,1.682577048E-1,3.196198953E0,2.252077000E-3,1.799999952E0,2.500000000E1
2.826404792E0,1.682943988E-1,3.195786350E0,2.250480000E-3,1.799999952E0,2.500000000E1
2.838900707E0,1.682207232E-1,3.195603005E0,2.248840000E-3,1.799999952E0,2.500000000E1
2.855561791E0,1.678084950E-1,3.182875236E0,2.247046000E-3,1.799999952E0,2.500000000E1
2.868057667E0,1.678220628E-1,3.185297838E0,2.245298000E-3,1.799999952E0,2.500000000E1
2.884718749E0,1.676206094E-1,3.183651883E0,2.243816000E-3,1.799999952E0,2.500000000E1
2.901379917E0,1.676311829E-1,3.168773581E0,2.253138000E-3,1.799999952E0,2.500000000E1
2.909710374E0,1.674624649E-1,3.168374961E0,2.251540000E-3,1.799999952E0,2.500000000E1
2.926371375E0,1.668766464E-1,3.132348146E0,2.260915000E-3,1.799999952E0,2.500000000E1
2.938867332E0,1.668624188E-1,3.133098024E0,2.259312000E-3,1.799999952E0,2.500000000E1
2.955528292E0,1.667085205E-1,3.133007867E0,2.257843000E-3,1.799999952E0,2.500000000E1
2.972189417E0,1.666410705E-1,3.133763285E0,2.256241000E-3,1.799999952E0,2.500000000E1
2.984685000E0,1.665784589E-1,3.133237743E0,2.254707000E-3,1.799999952E0,2.500000000E1
3.001346417E0,1.668993835E-1,3.147446281E0,2.253174000E-3,1.799999952E0,2.500000000E1
3.013842333E0,1.668869322E-1,3.147575457E0,2.251532000E-3,1.799999952E0,2.500000000E1
3.034668457E0,1.668143393E-1,3.147998001E0,2.250046000E-3,1.799999952E0,2.500000000E1
3.047164417E0,1.667744141E-1,3.132860866E0,2.259418000E-3,1.799999952E0,2.500000000E1
3.063825625E0,1.665100447E-1,3.109176699E0,2.268836000E-3,1.799999952E0,2.500000000E1
3.076321166E0,1.664326134E-1,3.095004438E0,2.278296000E-3,1.799999952E0,2.500000000E1
3.092982375E0,1.662165941E-1,3.091286756E0,2.276792000E-3,1.799999952E0,2.500000000E1
3.109643416E0,1.662156805E-1,3.076280078E0,2.286291000E-3,1.799999952E0,2.500000000E1
3.122139417E0,1.664084044E-1,3.073786063E0,2.295824000E-3,1.799999952E0,2.500000000E1
3.138800417E0,1.662849914E-1,3.073339908E0,2.294309000E-3,1.799999952E0,2.500000000E1
3.151296207E0,1.662541001E-1,3.073744047E0,2.292817000E-3,1.799999952E0,2.500000000E1
3.163792167E0,1.661633548E-1,3.071579933E0,2.291304000E-3,1.799999952E0,2.500000000E1
3.184618332E0,1.660483328E-1,3.070823563E0,2.289746000E-3,1.799999952E0,2.500000000E1
3.201279625E0,1.670408475E-1,3.105416319E0,2.288235000E-3,1.799999952E0,2.500000000E1
3.213775374E0,1.670681015E-1,3.091012906E0,2.297757000E-3,1.799999952E0,2.500000000E1
3.234601917E0,1.669205642E-1,3.075150564E0,2.307323000E-3,1.799999952E0,2.500000000E1
3.247097624E0,1.668395464E-1,3.074385426E0,2.305800000E-3,1.799999952E0,2.500000000E1
3.263758667E0,1.668917368E-1,3.062540028E0,2.315401000E-3,1.799999952E0,2.500000000E1
3.272089333E0,1.668028524E-1,3.049464155E0,2.325044000E-3,1.799999952E0,2.500000000E1
3.288750374E0,1.668240669E-1,3.035552319E0,2.334727000E-3,1.799999952E0,2.500000000E1
3.305411458E0,1.667200582E-1,3.036075575E0,2.333071000E-3,1.799999952E0,2.500000000E1
3.317907083E0,1.667063551E-1,3.037170825E0,2.331485000E-3,1.799999952E0,2.500000000E1
3.334567874E0,1.676884147E-1,3.070899838E0,2.329832000E-3,1.799999952E0,2.500000000E1
3.347064042E0,1.677262591E-1,3.072239341E0,2.328317000E-3,1.799999952E0,2.500000000E1
3.363725333E0,1.676157372E-1,3.073055098E0,2.326666000E-3,1.799999952E0,2.500000000E1
3.372055917E0,1.676861478E-1,3.076070823E0,2.324674000E-3,1.799999952E0,2.500000000E1
3.388716958E0,1.683339518E-1,3.100550969E0,2.323026000E-3,1.799999952E0,2.500000000E1
3.405378167E0,1.682322947E-1,3.100334464E0,2.321493000E-3,1.799999952E0,2.500000000E1
3.417873875E0,1.682254770E-1,3.083915744E0,2.331120000E-3,1.799999952E0,2.500000000E1
3.434534958E0,1.681507863E-1,3.070228773E0,2.340789000E-3,1.799999952E0,2.500000000E1
3.442865333E0,1.681113517E-1,3.072844353E0,2.339129000E-3,1.799999952E0,2.500000000E1
3.459526417E0,1.680591782E-1,3.071508285E0,2.337310000E-3,1.799999952E0,2.500000000E1
3.472022542E0,1.680891559E-1,3.075221252E0,2.335653000E-3,1.799999952E0,2.500000000E1
