"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
1.745148666E0,8.908719614E-2,1.911778699E-1,2.969319000E-3,1.799999952E0,2.000000000E2
1.757644624E0,8.902323115E-2,1.915856708E-1,2.967331000E-3,1.799999952E0,2.000000000E2
1.774305749E0,8.907250330E-2,1.914055365E-1,2.965170000E-3,1.799999952E0,2.000000000E2
1.790966833E0,8.948077281E-2,1.921117185E-1,2.980385000E-3,1.799999952E0,2.000000000E2
1.803462916E0,8.950675806E-2,1.921984907E-1,2.978156000E-3,1.799999952E0,2.000000000E2
1.820123708E0,8.956357541E-2,1.924792809E-1,2.975841000E-3,1.799999952E0,2.000000000E2
1.836785124E0,8.938189861E-2,1.924422215E-1,2.973615000E-3,1.799999952E0,2.000000000E2
1.849280958E0,8.935438233E-2,1.925359182E-1,2.970225000E-3,1.799999952E0,2.000000000E2
1.865942208E0,8.966601920E-2,1.935013333E-1,2.967682000E-3,1.799999952E0,2.000000000E2
1.878438041E0,8.977336906E-2,1.939206663E-1,2.965799000E-3,1.799999952E0,2.000000000E2
1.890933791E0,8.980993619E-2,1.945185384E-1,2.961981000E-3,1.799999952E0,2.000000000E2
1.907594791E0,8.996420668E-2,1.948183302E-1,2.959243000E-3,1.799999952E0,2.000000000E2
1.920090833E0,9.061084345E-2,1.974489918E-1,2.956014000E-3,1.799999952E0,2.000000000E2
1.936751874E0,9.053517157E-2,1.962256286E-1,2.971143000E-3,1.799999952E0,2.000000000E2
1.949247708E0,9.057187404E-2,1.961900953E-1,2.968629000E-3,1.799999952E0,2.000000000E2
1.965909041E0,9.048714285E-2,1.964875178E-1,2.966409000E-3,1.799999952E0,2.000000000E2
1.978404791E0,9.056339839E-2,1.970064625E-1,2.963172000E-3,1.799999952E0,2.000000000E2
1.986735333E0,9.026216576E-2,1.959714548E-1,2.960229000E-3,1.799999952E0,2.000000000E2
2.003396541E0,9.040524534E-2,1.963700248E-1,2.956215000E-3,1.799999952E0,2.000000000E2
2.020057499E0,9.057327819E-2,1.968078360E-1,2.953076000E-3,1.799999952E0,2.000000000E2
2.032553416E0,9.046130986E-2,1.971326213E-1,2.950578000E-3,1.799999952E0,2.000000000E2
2.049214499E0,9.034741294E-2,1.970505129E-1,2.947561000E-3,1.799999952E0,2.000000000E2
2.061710541E0,9.073185418E-2,1.987856437E-1,2.944485000E-3,1.799999952E0,2.000000000E2
2.070041041E0,9.082654130E-2,1.990229815E-1,2.940320000E-3,1.799999952E0,2.000000000E2
2.095032791E0,9.085562245E-2,1.992558404E-1,2.937602000E-3,1.799999952E0,2.000000000E2
2.107528541E0,9.077683775E-2,1.996727910E-1,2.934455000E-3,1.799999952E0,2.000000000E2
2.120024499E0,9.028078345E-2,1.981096548E-1,2.930620000E-3,1.799999952E0,2.000000000E2
2.136685666E0,9.025114403E-2,1.981063632E-1,2.927078000E-3,1.799999952E0,2.000000000E2
2.153346708E0,9.012433061E-2,1.982007939E-1,2.924745000E-3,1.799999952E0,2.000000000E2
2.165842374E0,9.003202885E-2,1.979861225E-1,2.921956000E-3,1.799999952E0,2.000000000E2
2.182503499E0,9.001947608E-2,1.982887701E-1,2.918969000E-3,1.799999952E0,2.000000000E2
2.199164416E0,8.970013330E-2,1.974124304E-1,2.915985000E-3,1.799999952E0,2.000000000E2
2.211660749E0,8.983922035E-2,1.976616486E-1,2.912848000E-3,1.799999952E0,2.000000000E2
2.228321749E0,8.984410104E-2,1.979058838E-1,2.910714000E-3,1.799999952E0,2.000000000E2
2.236652416E0,8.973155751E-2,1.980346142E-1,2.907738000E-3,1.799999952E0,2.000000000E2
2.253313458E0,8.945817106E-2,1.967986949E-1,2.905620000E-3,1.799999952E0,2.000000000E2
2.269974499E0,8.940177665E-2,1.971415782E-1,2.902250000E-3,1.799999952E0,2.000000000E2
2.282470499E0,8.940274094E-2,1.974297041E-1,2.900359000E-3,1.799999952E0,2.000000000E2
2.290800999E0,8.938691464E-2,1.973879978E-1,2.898389000E-3,1.799999952E0,2.000000000E2
2.307461958E0,8.925423086E-2,1.972504163E-1,2.896408000E-3,1.799999952E0,2.000000000E2
2.328288749E0,8.912892310E-2,1.964958548E-1,2.894242000E-3,1.799999952E0,2.000000000E2
2.336619291E0,8.900233806E-2,1.953134532E-1,2.909111000E-3,1.799999952E0,2.000000000E2
2.353280333E0,8.896411302E-2,1.953913233E-1,2.906707000E-3,1.799999952E0,2.000000000E2
2.369941499E0,8.903635065E-2,1.944076485E-1,2.921638000E-3,1.799999952E0,2.000000000E2
2.382437249E0,8.912150478E-2,1.937153385E-1,2.936643000E-3,1.799999952E0,2.000000000E2
2.399098374E0,8.897129449E-2,1.932930695E-1,2.934101000E-3,1.799999952E0,2.000000000E2
2.411594208E0,8.877571998E-2,1.934049074E-1,2.930526000E-3,1.799999952E0,2.000000000E2
2.428255291E0,8.890412364E-2,1.935854520E-1,2.928392000E-3,1.799999952E0,2.000000000E2
2.440750999E0,8.909556183E-2,1.942006226E-1,2.924824000E-3,1.799999952E0,2.000000000E2
2.457412416E0,8.939892605E-2,1.951868885E-1,2.922681000E-3,1.799999952E0,2.000000000E2
2.469908333E0,8.934286153E-2,1.952986579E-1,2.919979000E-3,1.799999952E0,2.000000000E2
2.486569333E0,8.915217617E-2,1.949913558E-1,2.917308000E-3,1.799999952E0,2.000000000E2
2.503230541E0,8.908456547E-2,1.949826599E-1,2.914639000E-3,1.799999952E0,2.000000000E2
2.519891583E0,8.904122289E-2,1.942546347E-1,2.929611000E-3,1.799999952E0,2.000000000E2
2.536552791E0,8.918804968E-2,1.946030666E-1,2.927506000E-3,1.799999952E0,2.000000000E2
2.549048583E0,8.925692074E-2,1.946394711E-1,2.925209000E-3,1.799999952E0,2.000000000E2
2.565709208E0,8.909256743E-2,1.942748416E-1,2.922850000E-3,1.799999952E0,2.000000000E2
2.578205583E0,8.899097798E-2,1.944306629E-1,2.920565000E-3,1.799999952E0,2.000000000E2
2.586536249E0,8.925137180E-2,1.950154755E-1,2.918237000E-3,1.799999952E0,2.000000000E2
2.603197458E0,8.924016398E-2,1.953530700E-1,2.916054000E-3,1.799999952E0,2.000000000E2
2.619858458E0,8.939486586E-2,1.956842121E-1,2.913672000E-3,1.799999952E0,2.000000000E2
2.636519583E0,8.924677025E-2,1.954647429E-1,2.911150000E-3,1.799999952E0,2.000000000E2
2.649015499E0,8.941129273E-2,1.957695999E-1,2.908630000E-3,1.799999952E0,2.000000000E2
